filename,num_tokens,token_min,token_max
AC_DC_-_Back_In_Black_bass_part2.mid,1556,28,58
AC_DC_-_Back_In_Black_Electric_Guitar_part1.mid,2187,40,83
AC_DC_-_Back_In_Black_Electric_Guitar_part4.mid,465,52,91
AC_DC_-_Back_In_Black_Electric_Guitar_part5.mid,465,40,79
AC_DC_-_Back_In_Black_main_guitar_part0.mid,2213,40,88
AC_DC_-_Back_In_Black_Percussion_part6.mid,559,36,49
AC_DC_-_Back_In_Black_Sampler_part3.mid,1184,64,79
AC_DC_-_Back_In_Black_voc_-bu_part7.mid,2342,52,79
AC_DC_-_Dirty_Deeds_Done_Dirt_Cheap_Bass_part2.mid,770,28,40
AC_DC_-_Dirty_Deeds_Done_Dirt_Cheap_Electric_Guitar_part0.mid,948,40,71
AC_DC_-_Dirty_Deeds_Done_Dirt_Cheap_Electric_Guitar_part1.mid,258,59,81
AC_DC_-_Dirty_Deeds_Done_Dirt_Cheap_Percussion_part3.mid,1370,35,50
AC_DC_-_For_Those_About_to_Rock_bass_part4.mid,613,40,59
AC_DC_-_For_Those_About_to_Rock_Electric_Guitar_part1.mid,799,47,100
AC_DC_-_For_Those_About_to_Rock_Electric_Guitar_part2.mid,1352,52,78
AC_DC_-_For_Those_About_to_Rock_Electric_Guitar_part6.mid,352,64,100
AC_DC_-_For_Those_About_to_Rock_Electric_Guitar_part7.mid,1352,52,78
AC_DC_-_For_Those_About_to_Rock_Electric_Guitar_part8.mid,176,66,66
AC_DC_-_For_Those_About_to_Rock_Electric_Guitar_part9.mid,490,52,83
AC_DC_-_For_Those_About_to_Rock_Percussion_part3.mid,1273,35,60
AC_DC_-_For_Those_About_to_Rock_Sampler_part0.mid,455,59,80
AC_DC_-_Hells_Bells_Clavichord_part10.mid,56,57,69
AC_DC_-_Hells_Bells_Electric_Bass_part5.mid,603,40,57
AC_DC_-_Hells_Bells_Electric_Bass_part6.mid,603,28,45
AC_DC_-_Hells_Bells_Electric_Piano_part1.mid,880,52,96
AC_DC_-_Hells_Bells_Electric_Piano_part3.mid,410,52,80
AC_DC_-_Hells_Bells_Percussion_part7.mid,360,36,36
AC_DC_-_Hells_Bells_Percussion_part8.mid,168,40,40
AC_DC_-_Hells_Bells_Percussion_part9.mid,661,44,64
AC_DC_-_Hells_Bells_Piano_part2.mid,214,52,93
AC_DC_-_Hells_Bells_Sampler_part0.mid,231,57,92
AC_DC_-_Who_Made_Who_Electric_Guitar_part0.mid,187,24,60
AC_DC_-_Who_Made_Who_Electric_Guitar_part1.mid,661,31,77
AC_DC_-_Who_Made_Who_fingered_bass_part3.mid,764,29,38
AC_DC_-_Who_Made_Who_more_rhythm_guitar_part2.mid,428,24,48
AC_DC_-_Who_Made_Who_Percussion_part4.mid,1193,36,60
Guns_n_Roses_-_Don't_Cry_Baritone_Saxophone_part7.mid,219,72,88
Guns_n_Roses_-_Don't_Cry_Bass_part8.mid,528,38,60
Guns_n_Roses_-_Don't_Cry_Electric_Guitar_part2.mid,1782,52,89
Guns_n_Roses_-_Don't_Cry_Electric_Guitar_part4.mid,518,53,79
Guns_n_Roses_-_Don't_Cry_Electric_Guitar_part5.mid,325,52,79
Guns_n_Roses_-_Don't_Cry_Gtr._V_part6.mid,117,60,95
Guns_n_Roses_-_Don't_Cry_Voice_part1.mid,298,60,88
Guns_n_Roses_-_Live_and_Let_Die_Echo_Pan_part5.mid,204,55,72
Guns_n_Roses_-_Live_and_Let_Die_Elec_Gtr_2_part1.mid,666,58,84
Guns_n_Roses_-_Live_and_Let_Die_Percussion_part7.mid,343,36,60
Guns_n_Roses_-_Live_and_Let_Die_Sax_1_part6.mid,272,58,84
Guns_n_Roses_-_Live_and_Let_Die_StringInstrument_part4.mid,68,62,83
Guns_n_Roses_-_Live_and_Let_Die_Syn_Bass_3_part2.mid,228,38,59
Guns_n_Roses_-_Live_and_Let_Die_Timpani_part0.mid,141,57,81
Guns_n_Roses_-_Nightrain_Electric_Guitar_part1.mid,889,40,67
Guns_n_Roses_-_Nightrain_Electric_Guitar_part2.mid,208,42,78
Guns_n_Roses_-_Nightrain_Electric_Guitar_part4.mid,1220,53,79
Guns_n_Roses_-_Nightrain_Fretless_Bass_part0.mid,706,24,45
Guns_n_Roses_-_Nightrain_Trumpet_part3.mid,332,67,88
Guns_n_Roses_-_November_Rain_Accordion_part5.mid,154,59,66
Guns_n_Roses_-_November_Rain_Axl_Rose_-Piano-_part0.mid,1856,26,76
Guns_n_Roses_-_November_Rain_Electric_Guitar_part3.mid,698,47,85
Guns_n_Roses_-_November_Rain_Harmonica_part1.mid,579,54,83
Guns_n_Roses_-_November_Rain_Matt_-Percussion-_part6.mid,1547,35,60
Guns_n_Roses_-_November_Rain_StringInstrument_part2.mid,213,50,66
Guns_n_Roses_-_Sweet_Child_O_Mine_Acoustic_Guitar_part6.mid,1360,39,66
Guns_n_Roses_-_Sweet_Child_O_Mine_Bass_part13.mid,909,27,58
Guns_n_Roses_-_Sweet_Child_O_Mine_Electric_Guitar_part1.mid,684,39,85
Guns_n_Roses_-_Sweet_Child_O_Mine_Lead_Guitar_part0.mid,685,39,85
Guns_n_Roses_-_Sweet_Child_O_Mine_Percussion_part14.mid,1917,35,77
Guns_n_Roses_-_Sweet_Child_O_Mine_Rhthym_Guitar_Clean_&_Dist_part7.mid,1172,39,73
Guns_n_Roses_-_Sweet_Child_O_Mine_Rhthym_Guitar_Dist_part4.mid,2122,39,66
Guns_n_Roses_-_Welcome_to_the_Jungle_Choir_part10.mid,56,51,61
Guns_n_Roses_-_Welcome_to_the_Jungle_Choir_part11.mid,56,51,61
Guns_n_Roses_-_Welcome_to_the_Jungle_Electric_Bass_part4.mid,897,26,46
Guns_n_Roses_-_Welcome_to_the_Jungle_Electric_Guitar_part0.mid,134,46,58
Guns_n_Roses_-_Welcome_to_the_Jungle_Electric_Guitar_part1.mid,141,46,58
Guns_n_Roses_-_Welcome_to_the_Jungle_Electric_Guitar_part2.mid,134,46,58
Guns_n_Roses_-_Welcome_to_the_Jungle_Electric_Guitar_part5.mid,1317,37,84
Guns_n_Roses_-_Welcome_to_the_Jungle_Electric_Guitar_part6.mid,1317,37,84
Guns_n_Roses_-_Welcome_to_the_Jungle_Electric_Guitar_part7.mid,197,44,87
Guns_n_Roses_-_Welcome_to_the_Jungle_Electric_Guitar_part8.mid,199,44,87
Guns_n_Roses_-_Welcome_to_the_Jungle_Percussion_part3.mid,1442,35,60
Guns_n_Roses_-_Welcome_to_the_Jungle_Sampler_part9.mid,416,58,87
Guns_n_Roses_-_You_Could_Be_Mine_Electric_Bass_part3.mid,1638,28,50
Guns_n_Roses_-_You_Could_Be_Mine_Electric_Guitar_part0.mid,1277,30,83
Guns_n_Roses_-_You_Could_Be_Mine_Electric_Guitar_part1.mid,512,47,75
Guns_n_Roses_-_You_Could_Be_Mine_Electric_Guitar_part2.mid,1774,40,73
Guns_n_Roses_-_You_Could_Be_Mine_Electric_Guitar_part5.mid,414,54,79
Guns_n_Roses_-_You_Could_Be_Mine_part_4_part4.mid,2320,35,60
Guns_n_Roses_-_You_Could_Be_Mine_Sampler_part6.mid,167,57,69
Limp_Bizkit_-_Stuck_Electric_Bass_part0.mid,922,26,53
Limp_Bizkit_-_Stuck_Electric_Guitar_part2.mid,1550,38,63
Limp_Bizkit_-_Stuck_part_1_part1.mid,2037,35,60
Nirvana_-_About_A_Girl_Brass_part3.mid,179,60,70
Nirvana_-_About_A_Girl_Chris_Novoselic_-Bass-_part1.mid,542,28,38
Nirvana_-_About_A_Girl_Electric_Guitar_part5.mid,1963,40,68
Nirvana_-_About_A_Girl_Kurdt_Kobain_-Guitar_Ryth_part0.mid,1963,40,68
Nirvana_-_About_A_Girl_Kurdt_Kobain_-Lead_Guitar-_part4.mid,198,41,65
Nirvana_-_About_A_Girl_Percussion_part2.mid,1269,35,60
Nirvana_-_Breed_Electric_Bass_part2.mid,649,28,38
Nirvana_-_Breed_Electric_Guitar_part0.mid,1979,40,76
Nirvana_-_Breed_Electric_Guitar_part1.mid,284,60,66
Nirvana_-_Breed_Percussion_part3.mid,1230,36,60
Nirvana_-_Come_As_You_Are_Baritone_Saxophone_part1.mid,250,54,68
Nirvana_-_Come_As_You_Are_Electric_Bass_part4.mid,688,28,40
Nirvana_-_Come_As_You_Are_Electric_Guitar_part2.mid,1160,40,71
Nirvana_-_Come_As_You_Are_Electric_Guitar_part3.mid,387,47,80
Nirvana_-_Come_As_You_Are_Percussion_part0.mid,1579,36,60
Nirvana_-_In_Bloom_bass-_Krist_part2.mid,975,27,39
Nirvana_-_In_Bloom_Electric_Guitar_part3.mid,301,46,67
Nirvana_-_In_Bloom_guitar_1-_Kurt_part0.mid,2356,39,71
Nirvana_-_In_Bloom_Percussion_part1.mid,1622,36,57
Nirvana_-_Lithium_bass-_Krist_part4.mid,642,28,48
Nirvana_-_Lithium_Electric_Guitar_part2.mid,406,52,67
Nirvana_-_Lithium_guitar_1-_Kurt_part0.mid,438,40,66
Nirvana_-_Lithium_guitar_2-_Kurt_part1.mid,1217,40,62
Nirvana_-_Lithium_Percussion_part3.mid,1506,36,60
Nirvana_-_Paper_Cuts_Electric_Bass_part3.mid,630,27,34
Nirvana_-_Paper_Cuts_Electric_Guitar_part0.mid,1815,39,58
Nirvana_-_Paper_Cuts_Electric_Guitar_part1.mid,204,61,70
Nirvana_-_Paper_Cuts_Percussion_part2.mid,1203,36,60
Nirvana_-_School_Electric_Bass_part3.mid,595,26,36
Nirvana_-_School_Electric_Guitar_part0.mid,950,38,60
Nirvana_-_School_Electric_Guitar_part1.mid,184,50,59
Nirvana_-_School_Percussion_part2.mid,1296,36,60
Nirvana_-_Scoff_Electric_Bass_part3.mid,830,26,39
Nirvana_-_Scoff_Electric_Guitar_part0.mid,2280,40,71
Nirvana_-_Scoff_Electric_Guitar_part1.mid,258,48,57
Nirvana_-_Scoff_Percussion_part2.mid,2023,36,49
Nirvana_-_Sifting_Choir_part0.mid,265,57,71
Nirvana_-_Sifting_Chris_Novoselic_-Bass-_part2.mid,641,28,43
Nirvana_-_Sifting_Kurt_Cobain_-Dist_Guitar-_part1.mid,1243,40,60
Nirvana_-_Sifting_Percussion_part3.mid,3281,36,60
Nirvana_-_Something_In_The_Way_bass_part3.mid,218,24,28
Nirvana_-_Something_In_The_Way_cello_part6.mid,148,36,59
Nirvana_-_Something_In_The_Way_Clarinet_part1.mid,280,43,64
Nirvana_-_Something_In_The_Way_guitar_1_part0.mid,781,36,55
Nirvana_-_Something_In_The_Way_guitar_2_part4.mid,325,36,55
Nirvana_-_Something_In_The_Way_guitar_3_part5.mid,393,36,60
Nirvana_-_Something_In_The_Way_Percussion_part2.mid,463,36,60
Nirvana_-_Stay_Away_Electric_Bass_part0.mid,971,31,44
Nirvana_-_Stay_Away_Electric_Guitar_part1.mid,2205,44,74
Nirvana_-_Stay_Away_Percussion_part2.mid,1792,36,57
Nirvana_-_Stay_Away_Sampler_part3.mid,274,67,81
Nirvana_-_Stay_Away_Sampler_part4.mid,274,67,81
Queen_-_Another_One_Bites_the_Dust_Bass_part2.mid,419,21,45
Queen_-_Another_One_Bites_the_Dust_Brass_part5.mid,168,55,86
Queen_-_Another_One_Bites_the_Dust_Electric_Organ_part0.mid,355,55,86
Queen_-_Another_One_Bites_the_Dust_Guitar_part1.mid,483,46,71
Queen_-_Another_One_Bites_the_Dust_Overdriven_Guitar_part3.mid,108,40,55
Queen_-_Another_One_Bites_the_Dust_Percussion_part10.mid,1189,35,60
Queen_-_Bicycle_Race_BASS_part1.mid,435,29,56
Queen_-_Bicycle_Race_Electric_Guitar_part2.mid,157,40,78
Queen_-_Bicycle_Race_Electric_Guitar_part3.mid,161,40,79
Queen_-_Bicycle_Race_Glockenspiel_part6.mid,138,87,97
Queen_-_Bicycle_Race_Glockenspiel_part7.mid,104,87,97
Queen_-_Bicycle_Race_Glockenspiel_part8.mid,152,87,98
Queen_-_Bicycle_Race_Percussion_part9.mid,910,38,81
Queen_-_Bicycle_Race_PIANO_part0.mid,1264,41,74
Queen_-_Bicycle_Race_Sampler_part12.mid,237,53,75
Queen_-_Bicycle_Race_Sampler_part13.mid,177,50,79
Queen_-_Bicycle_Race_Sampler_part14.mid,178,44,77
Queen_-_Bicycle_Race_Sampler_part15.mid,135,55,74
Queen_-_Bohemian_Rhapsody_Alto_Saxophone_part1.mid,139,48,80
Queen_-_Bohemian_Rhapsody_Brass_part6.mid,154,12,81
Queen_-_Bohemian_Rhapsody_Choir_part5.mid,266,46,91
Queen_-_Bohemian_Rhapsody_Electric_Bass_part3.mid,480,24,50
Queen_-_Bohemian_Rhapsody_Electric_Guitar_part8.mid,278,41,82
Queen_-_Bohemian_Rhapsody_Electric_Guitar_part9.mid,295,41,82
Queen_-_Bohemian_Rhapsody_English_Horn_part7.mid,137,36,84
Queen_-_Bohemian_Rhapsody_Horn_part0.mid,142,48,93
Queen_-_Bohemian_Rhapsody_Percussion_part11.mid,1119,35,81
Queen_-_Bohemian_Rhapsody_Piano_part2.mid,2083,29,96
Queen_-_Bohemian_Rhapsody_Sampler_part10.mid,75,59,77
Queen_-_Bohemian_Rhapsody_StringInstrument_part4.mid,800,24,92
Queen_-_Bohemian_Rhapsody_Timpani_part12.mid,178,36,48
Queen_-_Crazy_Little_Thing_Called_Love_Electric_Bass_part0.mid,4556,28,77
Queen_-_Father_to_Son_A.Guitar_part2.mid,2889,38,67
Queen_-_Father_to_Son_Bass_part5.mid,1022,28,60
Queen_-_Father_to_Son_Choir_part11.mid,143,53,88
Queen_-_Father_to_Son_Electric_Guitar_part0.mid,895,35,86
Queen_-_Father_to_Son_Electric_Guitar_part1.mid,632,38,86
Queen_-_Father_to_Son_Electric_Guitar_part3.mid,711,39,69
Queen_-_Father_to_Son_Electric_Guitar_part4.mid,766,39,69
Queen_-_Father_to_Son_Percussion_part6.mid,2235,36,60
Queen_-_Father_to_Son_Sampler_part7.mid,346,48,98
Queen_-_Father_to_Son_Sampler_part9.mid,231,55,69
Queen_-_Father_to_Son_Voice_part10.mid,543,55,81
Queen_-_Fat_Bottom_Girls_Brass_part2.mid,276,57,69
Queen_-_Fat_Bottom_Girls_Choir_part3.mid,438,47,66
Queen_-_Fat_Bottom_Girls_Electric_Guitar_part1.mid,1397,38,66
Queen_-_Fat_Bottom_Girls_Electric_Guitar_part4.mid,1408,38,66
Queen_-_Fat_Bottom_Girls_Fretless_Bass_part0.mid,653,26,64
Queen_-_Fat_Bottom_Girls_Percussion_part5.mid,1072,35,64
Queen_-_i_want_to_break_free_Bass_part1.mid,666,40,52
Queen_-_i_want_to_break_free_Guitar_part3.mid,2615,52,76
Queen_-_i_want_to_break_free_Lead_Guitar_part4.mid,545,32,95
Queen_-_i_want_to_break_free_Percussion_part2.mid,1778,36,60
Queen_-_i_want_to_break_free_Sampler_part0.mid,293,64,85
Queen_-_i_want_to_break_free_Sampler_part6.mid,115,28,74
Queen_-_i_want_to_break_free_Strings_part5.mid,223,28,83
Queen_-_Keep_Yourself_Alive_Choir_part12.mid,110,56,72
Queen_-_Keep_Yourself_Alive_Choir_part13.mid,110,56,72
Queen_-_Keep_Yourself_Alive_Electric_Bass_part1.mid,382,29,57
Queen_-_Keep_Yourself_Alive_Electric_Guitar_part0.mid,800,40,62
Queen_-_Keep_Yourself_Alive_Electric_Guitar_part2.mid,648,40,76
Queen_-_Keep_Yourself_Alive_Electric_Guitar_part4.mid,483,40,76
Queen_-_Keep_Yourself_Alive_Electric_Guitar_part5.mid,426,40,68
Queen_-_Keep_Yourself_Alive_Electric_Guitar_part6.mid,63,59,92
Queen_-_Keep_Yourself_Alive_Electric_Guitar_part8.mid,495,40,81
Queen_-_Keep_Yourself_Alive_Percussion_part9.mid,1754,41,57
Queen_-_Keep_Yourself_Alive_Piano_part10.mid,749,35,40
Queen_-_Keep_Yourself_Alive_Voice_part11.mid,171,56,72
Queen_-_Keep_Yourself_Alive_Voice_part3.mid,263,52,69
Queen_-_Killer_Queen_Electric_Piano_part0.mid,4462,29,82
Queen_-_Play_the_Game_Electric_Bass_part0.mid,3638,23,86
Queen_-_Princes_of_the_Universe_Accordion_part4.mid,395,55,81
Queen_-_Princes_of_the_Universe_Choir_part3.mid,270,50,81
Queen_-_Princes_of_the_Universe_Electric_Bass_part2.mid,225,28,52
Queen_-_Princes_of_the_Universe_Electric_Guitar_part6.mid,448,40,92
Queen_-_Princes_of_the_Universe_Electric_Guitar_part7.mid,419,40,86
Queen_-_Princes_of_the_Universe_Electric_Guitar_part8.mid,360,42,88
Queen_-_Princes_of_the_Universe_Percussion_part0.mid,1540,36,60
Queen_-_Princes_of_the_Universe_Sampler_part10.mid,188,35,81
Queen_-_Princes_of_the_Universe_Voice_part5.mid,232,30,81
Queen_-_Too_Much_Love_Will_Kill_You_Acoustic_Guitar_part9.mid,109,31,93
Queen_-_Too_Much_Love_Will_Kill_You_Acous_Bas_part3.mid,98,26,48
Queen_-_Too_Much_Love_Will_Kill_You_Piano_part2.mid,1422,31,79
Queen_-_Too_Much_Love_Will_Kill_You_Sampler_part0.mid,356,64,84
Queen_-_Too_Much_Love_Will_Kill_You_Strings_2_part6.mid,149,43,103
Queen_-_Too_Much_Love_Will_Kill_You_Strings_3_part7.mid,84,31,88
Queen_-_Too_Much_Love_Will_Kill_You_Strings_part5.mid,175,55,88
Queen_-_Too_Much_Love_Will_Kill_You_Voice_part1.mid,356,64,84
Queen_-_Under_Pressure_Electric_Bass_part9.mid,684,29,57
Queen_-_Under_Pressure_Electric_Guitar_part1.mid,305,41,67
Queen_-_Under_Pressure_Electric_Guitar_part2.mid,645,43,73
Queen_-_Under_Pressure_Electric_Guitar_part3.mid,468,43,74
Queen_-_Under_Pressure_Koto_part4.mid,59,57,66
Queen_-_Under_Pressure_part_11_part11.mid,130,60,60
Queen_-_Under_Pressure_part_12_part12.mid,564,44,46
Queen_-_Under_Pressure_part_13_part13.mid,95,57,60
Queen_-_Under_Pressure_part_14_part14.mid,168,38,38
Queen_-_Under_Pressure_part_15_part15.mid,294,36,36
Queen_-_Under_Pressure_part_16_part16.mid,86,47,50
Queen_-_Under_Pressure_Piano_part7.mid,1378,55,86
Queen_-_Under_Pressure_Piano_part8.mid,1058,26,57
Queen_-_We_Are_The_Champions_Piano_part0.mid,2665,29,96
Queen_-_You're_My_Best_Friend_Electric_Bass_part0.mid,3048,31,96
Rage_Against_the_Machine_-_Bullet_in_the_Head_Electric_Bass_part1.mid,1226,28,49
Rage_Against_the_Machine_-_Bullet_in_the_Head_Electric_Guitar_part0.mid,1943,40,98
Rage_Against_the_Machine_-_Bullet_in_the_Head_Percussion_part2.mid,2078,36,60
Rage_Against_the_Machine_-_Bulls_On_Parade_Electric_Bass_part5.mid,543,27,58
Rage_Against_the_Machine_-_Bulls_On_Parade_Electric_Guitar_part0.mid,712,39,65
Rage_Against_the_Machine_-_Bulls_On_Parade_Electric_Guitar_part1.mid,192,48,58
Rage_Against_the_Machine_-_Bulls_On_Parade_Electric_Guitar_part2.mid,384,48,58
Rage_Against_the_Machine_-_Bulls_On_Parade_Electric_Guitar_part3.mid,128,48,58
Rage_Against_the_Machine_-_Bulls_On_Parade_Electric_Guitar_part4.mid,256,48,58
Rage_Against_the_Machine_-_Bulls_On_Parade_part_6_part6.mid,1252,36,49
Rage_Against_the_Machine_-_Killing_in_the_Name_Of_Electric_Bass_part1.mid,1050,26,53
Rage_Against_the_Machine_-_Killing_in_the_Name_Of_Electric_Guitar_part2.mid,1053,38,75
Rage_Against_the_Machine_-_Killing_in_the_Name_Of_Electric_Guitar_part3.mid,2373,38,76
Rage_Against_the_Machine_-_Killing_in_the_Name_Of_Electric_Guitar_part4.mid,99,50,50
Rage_Against_the_Machine_-_Killing_in_the_Name_Of_Percussion_part0.mid,1672,36,57
Rage_Against_the_Machine_-_Know_Your_Enemy_Electric_Bass_part6.mid,660,28,48
Rage_Against_the_Machine_-_Know_Your_Enemy_Electric_Guitar_part0.mid,384,52,66
Rage_Against_the_Machine_-_Know_Your_Enemy_Electric_Guitar_part1.mid,1187,40,69
Rage_Against_the_Machine_-_Know_Your_Enemy_Electric_Guitar_part2.mid,945,40,69
Rage_Against_the_Machine_-_Know_Your_Enemy_Electric_Guitar_part5.mid,320,40,55
Rage_Against_the_Machine_-_Know_Your_Enemy_Percussion_part7.mid,1711,35,60
Rage_Against_the_Machine_-_People_of_the_Sun_Bass_part3.mid,430,30,40
Rage_Against_the_Machine_-_People_of_the_Sun_Chorus_guitar_part2.mid,336,42,43
Rage_Against_the_Machine_-_People_of_the_Sun_Guitar_doubled_part1.mid,55,47,47
Rage_Against_the_Machine_-_People_of_the_Sun_Guitar_part0.mid,673,43,55
Rage_Against_the_Machine_-_People_of_the_Sun_Percussion_part4.mid,1056,35,61
Rage_Against_the_Machine_-_Wind_Below_Electric_Bass_part1.mid,961,28,40
Rage_Against_the_Machine_-_Wind_Below_Electric_Guitar_part0.mid,1488,40,88
Rage_Against_the_Machine_-_Wind_Below_Percussion_part2.mid,1549,36,60
Rage_Against_the_Machine_-_Year_of_the_Boomerang_Electric_Bass_part1.mid,621,26,40
Rage_Against_the_Machine_-_Year_of_the_Boomerang_Electric_Guitar_part0.mid,773,53,86
Rage_Against_the_Machine_-_Year_of_the_Boomerang_Electric_Guitar_part2.mid,747,41,86
Rage_Against_the_Machine_-_Year_of_the_Boomerang_Electric_Guitar_part4.mid,42,40,55
Rage_Against_the_Machine_-_Year_of_the_Boomerang_Percussion_part3.mid,1376,36,60
The_Living_Tombstone_-_Five_Nights_at_Freddy's_2_Song_(It's_Been_so_long)_Piano_part0.mid,526,56,85
The_Living_Tombstone_-_Five_Nights_at_Freddy's_2_Song_(It's_Been_so_long)_Piano_part1.mid,546,30,65
